vdom,name,uuid,type,start-ip,end-ip,subnet,wildcard-fqdn,fqdn,associated-interface,comment
CP03CASH2,appstore,a6fc822c-7d43-51e6-355a-28f988b3a8be,wildcard-fqdn,,,,*.appstore.com,,,
CP03CASH2,auth.gfx.ms,a6fc921c-7d43-51e6-5573-02c4f313b7d6,fqdn,,,,,auth.gfx.ms,,
CP03CASH2,autoupdate.opera.com,a6fca2ac-7d43-51e6-bedd-5366d15565e4,fqdn,,,,,autoupdate.opera.com,,
CP03CASH2,citrix,a6fcb2e2-7d43-51e6-a94c-ab8418749d7c,wildcard-fqdn,,,,*.citrixonline.com,,,
CP03CASH2,dropbox.com,a6fcc2e6-7d43-51e6-33fc-e3fc8ccdb47d,wildcard-fqdn,,,,*.dropbox.com,,,
CP03CASH2,eease,a6fcd2f4-7d43-51e6-9248-d9d0c1451ef8,wildcard-fqdn,,,,*.eease.com,,,
CP03CASH2,firefox update server,a6fce2c6-7d43-51e6-e2bf-fe5003766cdb,wildcard-fqdn,,,,aus*.mozilla.org,,,
CP03CASH2,fortinet,a6fcf2de-7d43-51e6-5349-6ec053e99927,wildcard-fqdn,,,,*.fortinet.com,,,
CP03CASH2,googleapis.com,a6fd02a6-7d43-51e6-bcd9-60bbef021f8a,wildcard-fqdn,,,,*.googleapis.com,,,
CP03CASH2,google-drive,a6fd12d2-7d43-51e6-b73f-dd100ebb86f3,wildcard-fqdn,,,,*drive.google.com,,,
CP03CASH2,google-play,a6fd2362-7d43-51e6-7143-44180b9a4e56,fqdn,,,,,play.google.com,,
CP03CASH2,google-play2,a6fd33a2-7d43-51e6-9211-a38f12e5fe6b,wildcard-fqdn,,,,*.ggpht.com,,,
CP03CASH2,google-play3,a6fd4392-7d43-51e6-5810-00e66ed747a1,wildcard-fqdn,,,,*.books.google.com,,,
CP03CASH2,Gotomeeting,a6fd535a-7d43-51e6-2338-ebd2727c3f14,wildcard-fqdn,,,,*.gotomeeting.com,,,
CP03CASH2,icloud,a6fd6354-7d43-51e6-97d5-829cbad1b0b4,wildcard-fqdn,,,,*.icloud.com,,,
CP03CASH2,itunes,a6fd7326-7d43-51e6-9f07-bd81bd83536c,wildcard-fqdn,,,,*itunes.apple.com,,,
CP03CASH2,microsoft,a6fd830c-7d43-51e6-4048-b9fd2f24628c,wildcard-fqdn,,,,*.microsoft.com,,,
CP03CASH2,skype,a6fd9306-7d43-51e6-e7b3-2467b70e82bd,wildcard-fqdn,,,,*.messenger.live.com,,,
CP03CASH2,softwareupdate.vmware.com,a6fda2e2-7d43-51e6-29b5-55ea21dd8ce3,fqdn,,,,,softwareupdate.vmware.com,,
CP03CASH2,swscan.apple.com,a6fdb30e-7d43-51e6-6524-4991e6fa30ab,fqdn,,,,,swscan.apple.com,,
CP03CASH2,update.microsoft.com,a6fdc312-7d43-51e6-a555-b68ad65f7a53,fqdn,,,,,update.microsoft.com,,
CP03CASH2,verisign,a6fdd320-7d43-51e6-bc4c-cf40df86c8aa,wildcard-fqdn,,,,*.verisign.com,,,
CP03CASH2,Windows update 2,a6fde2e8-7d43-51e6-32fa-12728d24b4f1,wildcard-fqdn,,,,*.windowsupdate.com,,,
CP03CASH2,live.com,a6fdf2ec-7d43-51e6-2ee8-065251e1700c,wildcard-fqdn,,,,*.live.com,,,
CP03CASH2,SSLVPN_TUNNEL_ADDR1,a74755d6-7d43-51e6-071a-011c7a22d3df,iprange,10.212.134.200,10.212.134.210,,,,ssl.CP03CASH2,
CP03CASH2,all,a7476ecc-7d43-51e6-58fa-8caf0c4d3745,,,,,,,,
CP03CASH2,Net_10.2.93.0,d5ca8be4-573b-51e7-2f63-c8cf5ab2c5eb,,,,10.2.93.0 255.255.255.0,,,I.CASH.Trust2,"Spine CASH OCG-EP,v2101"
CP03CASH2,Net_10.2.90.0,d5e07dd2-573b-51e7-3dde-00d64bc60b3a,,,,10.2.90.0 255.255.255.0,,,I.CASH.Trust2,"Spine CASH OMDC-RTS,v2102"
CP03CASH2,Net_10.140.128.0/18,d5f0f70c-573b-51e7-91c7-8e106a056641,,,,10.140.128.0 255.255.192.0,,,W.OCG.T3T4,"WAN_OCG_W3,v684"
CP03CASH2,Net_10.143.128.0/18,d601549e-573b-51e7-926b-ed05ab7ca9dc,,,,10.143.128.0 255.255.192.0,,,W.OCG.T3T4,"WAN_OCG_W3,v684"
CP03CASH2,Net_10.140.192.0/18,d6126266-573b-51e7-ba4a-c7f78630d46f,,,,10.140.192.0 255.255.192.0,,,W.OCG.T3T4,"WAN_OCG_W4,v685"
CP03CASH2,Net_10.143.192.0/18,d622ddf8-573b-51e7-dbfa-f1394b68c0d3,,,,10.143.192.0 255.255.192.0,,,W.OCG.T3T4,"WAN_OCG_W4,v685"
CP03CASH2,Net_10.138.128.0/18,d633f3fe-573b-51e7-112e-f7166668ada4,,,,10.138.128.0 255.255.192.0,,,W.OCG.T3T4,WAN_OCG_P3.v688
CP03CASH2,Net_10.141.128.0/18,d643df58-573b-51e7-626d-19f577411f32,,,,10.141.128.0 255.255.192.0,,,W.OCG.T3T4,WAN_OCG_P3.v688
CP03CASH2,Net_10.142.128.0/18,d655385c-573b-51e7-ab94-42697a08b912,,,,10.142.128.0 255.255.192.0,,,W.OCG.T3T4,WAN_OCG_P3.v688
CP03CASH2,Net_10.138.192.0/18,d6651592-573b-51e7-a2e0-20cd93e326d2,,,,10.138.192.0 255.255.192.0,,,W.OCG.T3T4,"WAN_OCG_P4,v689"
