vdom,name,category,protocol,tcp-portrange,udp-portrange,protocol-number,visibility,icmptype,proxy
DTH1HSN,MS-SQL,"VoIP, Messaging & Other Applications",,1433 1434,,,,,
DTH1HSN,MYSQL,"VoIP, Messaging & Other Applications",,3306,,,,,
DTH1HSN,RDP,Remote Access,,3389,,,,,
DTH1HSN,VNC,Remote Access,,5900,,,,,
DTH1HSN,DHCP6,Network Services,,,546 547,,,,
DTH1HSN,SQUID,Tunneling,,3128,,,,,
DTH1HSN,SOCKS,Tunneling,,1080,1080,,,,
DTH1HSN,WINS,Remote Access,,1512,1512,,,,
DTH1HSN,RADIUS,Authentication,,,1812 1813,,,,
DTH1HSN,RADIUS-OLD,,,,1645 1646,,disable,,
DTH1HSN,CVSPSERVER,,,2401,2401,,disable,,
DTH1HSN,AFS3,File Access,,7000-7009,7000-7009,,,,
DTH1HSN,TRACEROUTE,Network Services,,,33434-33535,,,,
DTH1HSN,RTSP,"VoIP, Messaging & Other Applications",,554 7070 8554,554,,,,
DTH1HSN,MMS,,,1755,1024-5000,,disable,,
DTH1HSN,KERBEROS,Authentication,,88 464,88 464,,,,
DTH1HSN,LDAP_UDP,Authentication,,,389,,,,
DTH1HSN,SMB,File Access,,445,,,,,
DTH1HSN,NONE,,,0,,,disable,,
DTH1HSN,webproxy,Web Proxy,ALL,0-65535:0-65535,,,,,enable
DTH1HKATS1,ALL,General,IP,,,,,,
DTH1HKATS1,ALL_TCP,General,,1-65535,,,,,
DTH1HKATS1,ALL_UDP,General,,,1-65535,,,,
DTH1HKATS1,ALL_ICMP,General,ICMP,,,,,,
DTH1HKATS1,ALL_ICMP6,General,ICMP6,,,,,,
DTH1HKATS1,GRE,Tunneling,IP,,,47,,,
DTH1HKATS1,AH,Tunneling,IP,,,51,,,
DTH1HKATS1,ESP,Tunneling,IP,,,50,,,
DTH1HKATS1,AOL,,,5190-5194,,,disable,,
DTH1HKATS1,BGP,Network Services,,179,,,,,
DTH1HKATS1,DHCP,Network Services,,,67-68,,,,
DTH1HKATS1,DNS,Network Services,,53,53,,,,
DTH1HKATS1,FINGER,,,79,,,disable,,
DTH1HKATS1,FTP,File Access,,21,,,,,
DTH1HKATS1,FTP_GET,File Access,,21,,,,,
DTH1HKATS1,FTP_PUT,File Access,,21,,,,,
DTH1HKATS1,GOPHER,,,70,,,disable,,
DTH1HKATS1,H323,"VoIP, Messaging & Other Applications",,1720 1503,1719,,,,
DTH1HKATS1,HTTP,Web Access,,80,,,,,
DTH1HKATS1,HTTPS,Web Access,,443,,,,,
DTH1HKATS1,IKE,Tunneling,,,500 4500,,,,
DTH1HKATS1,IMAP,Email,,143,,,,,
DTH1HKATS1,IMAPS,Email,,993,,,,,
DTH1HKATS1,Internet-Locator-Service,,,389,,,disable,,
DTH1HKATS1,IRC,"VoIP, Messaging & Other Applications",,6660-6669,,,,,
DTH1HKATS1,L2TP,Tunneling,,1701,1701,,,,
DTH1HKATS1,LDAP,Authentication,,389,,,,,
DTH1HKATS1,NetMeeting,,,1720,,,disable,,
DTH1HKATS1,NFS,File Access,,111 2049,111 2049,,,,
DTH1HKATS1,NNTP,,,119,,,disable,,
DTH1HKATS1,NTP,Network Services,,123,123,,,,
DTH1HKATS1,OSPF,Network Services,IP,,,89,,,
DTH1HKATS1,PC-Anywhere,Remote Access,,5631,5632,,,,
DTH1HKATS1,PING,Network Services,ICMP,,,,,8,
DTH1HKATS1,TIMESTAMP,,ICMP,,,,disable,13,
DTH1HKATS1,INFO_REQUEST,,ICMP,,,,disable,15,
DTH1HKATS1,INFO_ADDRESS,,ICMP,,,,disable,17,
DTH1HKATS1,ONC-RPC,Remote Access,,111,111,,,,
DTH1HKATS1,DCE-RPC,Remote Access,,135,135,,,,
DTH1HKATS1,POP3,Email,,110,,,,,
DTH1HKATS1,POP3S,Email,,995,,,,,
DTH1HKATS1,PPTP,Tunneling,,1723,,,,,
DTH1HKATS1,QUAKE,,,,26000 27000 27910 27960,,disable,,
DTH1HKATS1,RAUDIO,,,,7070,,disable,,
DTH1HKATS1,REXEC,,,512,,,disable,,
DTH1HKATS1,RIP,Network Services,,,520,,,,
DTH1HKATS1,RLOGIN,,,513:512-1023,,,disable,,
DTH1HKATS1,RSH,,,514:512-1023,,,disable,,
DTH1HKATS1,SCCP,"VoIP, Messaging & Other Applications",,2000,,,,,
DTH1HKATS1,SIP,"VoIP, Messaging & Other Applications",,5060,5060,,,,
DTH1HKATS1,SIP-MSNmessenger,"VoIP, Messaging & Other Applications",,1863,,,,,
DTH1HKATS1,SAMBA,File Access,,139,,,,,
DTH1HKATS1,SMTP,Email,,25,,,,,
DTH1HKATS1,SMTPS,Email,,465,,,,,
DTH1HKATS1,SNMP,Network Services,,161-162,161-162,,,,
DTH1HKATS1,SSH,Remote Access,,22,,,,,
DTH1HKATS1,SYSLOG,Network Services,,,514,,,,
DTH1HKATS1,TALK,,,,517-518,,disable,,
DTH1HKATS1,TELNET,Remote Access,,23,,,,,
DTH1HKATS1,TFTP,File Access,,,69,,,,
DTH1HKATS1,MGCP,,,,2427 2727,,disable,,
DTH1HKATS1,UUCP,,,540,,,disable,,
DTH1HKATS1,VDOLIVE,,,7000-7010,,,disable,,
DTH1HKATS1,WAIS,,,210,,,disable,,
DTH1HKATS1,WINFRAME,,,1494 2598,,,disable,,
DTH1HKATS1,X-WINDOWS,Remote Access,,6000-6063,,,,,
DTH1HKATS1,PING6,,ICMP6,,,,disable,128,
DTH1HKATS1,MS-SQL,"VoIP, Messaging & Other Applications",,1433 1434,,,,,
DTH1HKATS1,MYSQL,"VoIP, Messaging & Other Applications",,3306,,,,,
DTH1HKATS1,RDP,Remote Access,,3389,,,,,
DTH1HKATS1,VNC,Remote Access,,5900,,,,,
DTH1HKATS1,DHCP6,Network Services,,,546 547,,,,
DTH1HKATS1,SQUID,Tunneling,,3128,,,,,
DTH1HKATS1,SOCKS,Tunneling,,1080,1080,,,,
DTH1HKATS1,WINS,Remote Access,,1512,1512,,,,
DTH1HKATS1,RADIUS,Authentication,,,1812 1813,,,,
DTH1HKATS1,RADIUS-OLD,,,,1645 1646,,disable,,
DTH1HKATS1,CVSPSERVER,,,2401,2401,,disable,,
DTH1HKATS1,AFS3,File Access,,7000-7009,7000-7009,,,,
DTH1HKATS1,TRACEROUTE,Network Services,,,33434-33535,,,,
DTH1HKATS1,RTSP,"VoIP, Messaging & Other Applications",,554 7070 8554,554,,,,
DTH1HKATS1,MMS,,,1755,1024-5000,,disable,,
DTH1HKATS1,KERBEROS,Authentication,,88 464,88 464,,,,
DTH1HKATS1,LDAP_UDP,Authentication,,,389,,,,
DTH1HKATS1,SMB,File Access,,445,,,,,
DTH1HKATS1,NONE,,,0,,,disable,,
DTH1HKATS1,webproxy,Web Proxy,ALL,0-65535:0-65535,,,,,enable
DTH1HKATS1,Port_to_BMC,,,2059 1828-1838 3181-3183,162,,,,
DTH1HKATS1,Port_from_BMC,,,1828-1838 3181 3281 3381 3481 3581 3681 3781 3881 3981,,,,,
DTH1HKATS1,Port_SEPM,,,22 80 137-139 443 445 2967 8014,,,,,
DTH1HKATS1,UDP/123,,,,123,,,,
DTH1HKATS1,TCP/22,,,22,,,,,
DTH1HKATS1,TCP/80,,,80,,,,,
DTH1HKATS1,PORT_PATCH_MGT,,,137-139 443 445 3121 3389,,,,,
DTH1HKATS1,PORT_AD_TCP,,,53 88 123 135 139 389 445 464 636 3268-3269 1024-3388 3390-65535,,,,,
DTH1HKATS1,PORT_AD_UDP,,,,53 88 123 135 138 389 445 464 1024-65535,,,,
DTH1HKATS1,PORT_HP_ILO,,,22 23 80 443 623 3002 3389 9300 17988 17990,,,,,
DTH1HKATS1,PORT_SCOM,,,80 443 5723,,,,,
DTH1HKATS1,PORT_TRENDMICRO,,,8080 11267,,,,,
DTH1HKATS1,TCP_10022,,,10022,,,,,
DTH1HKATS1,TCP_14002,,,14002,,,,,
DTH1HKATS1,TCP_22,,,22,,,,,
DTH1HKATS1,TCP_30001-30010,,,30001-30010,,,,,
DTH1HKATS1,TCP_55455,,,55455,,,,,
DTH1HKATS1,TCP_12024,,,12024,,,,,
DTH1HKATS1,TCP_12025,,,12025,,,,,
DTH1HKATS1,TCP_389,,,389,,,,,
DTH1HKATS1,UDP_51000-51009,,,,51000-51009,,,,
DTH1MC1,ALL,General,IP,,,,,,
DTH1MC1,ALL_TCP,General,,1-65535,,,,,
DTH1MC1,ALL_UDP,General,,,1-65535,,,,
DTH1MC1,ALL_ICMP,General,ICMP,,,,,,
DTH1MC1,ALL_ICMP6,General,ICMP6,,,,,,
DTH1MC1,GRE,Tunneling,IP,,,47,,,
DTH1MC1,AH,Tunneling,IP,,,51,,,
DTH1MC1,ESP,Tunneling,IP,,,50,,,
