vdom,name,category,protocol,tcp-portrange,udp-portrange,protocol-number,visibility,icmptype,explicit-proxy
CP03CASH2,PC-Anywhere,Remote Access,,5631,5632,,,,
CP03CASH2,PING,Network Services,ICMP,,,,,8,
CP03CASH2,TIMESTAMP,,ICMP,,,,disable,13,
CP03CASH2,INFO_REQUEST,,ICMP,,,,disable,15,
CP03CASH2,INFO_ADDRESS,,ICMP,,,,disable,17,
CP03CASH2,ONC-RPC,Remote Access,,111,111,,,,
CP03CASH2,DCE-RPC,Remote Access,,135,135,,,,
CP03CASH2,POP3,Email,,110,,,,,
CP03CASH2,POP3S,Email,,995,,,,,
CP03CASH2,PPTP,Tunneling,,1723,,,,,
CP03CASH2,QUAKE,,,,26000 27000 27910 27960,,disable,,
CP03CASH2,RAUDIO,,,,7070,,disable,,
CP03CASH2,REXEC,,,512,,,disable,,
CP03CASH2,RIP,Network Services,,,520,,,,
CP03CASH2,RLOGIN,,,513:512-1023,,,disable,,
CP03CASH2,RSH,,,514:512-1023,,,disable,,
CP03CASH2,SCCP,"VoIP, Messaging & Other Applications",,2000,,,,,
CP03CASH2,SIP,"VoIP, Messaging & Other Applications",,5060,5060,,,,
CP03CASH2,SIP-MSNmessenger,"VoIP, Messaging & Other Applications",,1863,,,,,
CP03CASH2,SAMBA,File Access,,139,,,,,
CP03CASH2,SMTP,Email,,25,,,,,
CP03CASH2,SMTPS,Email,,465,,,,,
CP03CASH2,SNMP,Network Services,,161-162,161-162,,,,
CP03CASH2,SSH,Remote Access,,22,,,,,
CP03CASH2,SYSLOG,Network Services,,,514,,,,
CP03CASH2,TALK,,,,517-518,,disable,,
CP03CASH2,TELNET,Remote Access,,23,,,,,
CP03CASH2,TFTP,File Access,,,69,,,,
CP03CASH2,MGCP,,,,2427 2727,,disable,,
CP03CASH2,UUCP,,,540,,,disable,,
CP03CASH2,VDOLIVE,,,7000-7010,,,disable,,
CP03CASH2,WAIS,,,210,,,disable,,
CP03CASH2,WINFRAME,,,1494 2598,,,disable,,
CP03CASH2,X-WINDOWS,Remote Access,,6000-6063,,,,,
