vdom,id,name,uuid,srcintf,dstintf,srcaddr,dstaddr,action,schedule,service,utm-status,logtraffic,ips-sensor,nat,ippool,poolname,comments,status,capture-packet,auto-asic-offload
CT03CASH2,155,TBC13,39088fc6-6718-51e7-36dd-9fd39ed320cb,I.TOFAPP,E.UCN,Host_10.70.13.73,Range_192.168.84.31-32 Host_192.168.30.31 Host_192.168.25.16 Host_192.168.3.151 Range_192.168.25.231-232 Range_192.168.91.21-22 Range_192.168.55.19-20 Range_192.168.25.220-221,accept,always,TCP/22,enable,all,otpc-all,,,,,,,
CT03CASH2,156,TBC14,3927623e-6718-51e7-2ddf-b6e9fc00409e,I.TOFAPP,E.UCN,Range_10.70.13.72-73,Host_192.168.188.22,accept,always,TCP/2967,enable,all,otpc-all,,,,,,,
CT03CASH2,157,TBC15,3944fe70-6718-51e7-af32-13901b26ac77,I.TOFAPP,E.UCN,Net_10.70.13.0 Net_10.70.16.0,Host_192.168.150.36 Host_192.168.188.36 Host_192.168.150.70,accept,always,TCP/5723,enable,all,otpc-all,,,,,,,
CT03CASH2,158,TBC16,3964320e-6718-51e7-d7e0-ca58c376fd99,E.OMDD4,E.UCN,Net_10.68.15.0,Host_192.168.150.36 Host_192.168.188.36,accept,always,TCP/5723,enable,all,otpc-all,,,,,,,
CT03CASH2,159,TBC17,39840052-6718-51e7-4443-467b77a1dc47,I.TOFAPP,E.UCN,Net_10.70.16.0,Host_192.168.188.22,accept,always,TCP/80 TCP/139 TCP/443 TCP/445 TCP/2967 TCP/8014,enable,all,otpc-all,,,,,,,
CT03CASH2,160,TBC18,47032ad2-6718-51e7-60c8-18332beb19be,I.TOFAPP,E.UCN,Net_10.70.16.0,Host_192.168.150.94 Range_192.168.188.25-26,accept,always,TCP/137-139 TCP/443 TCP/445 TCP/3121-3122 TCP/5120,enable,all,otpc-all,,,,,,,
CT03CASH2,161,TBC19,4727fea2-6718-51e7-4b99-0aa9522c7536,E.UCN,I.TOFAPP,Host_192.168.150.94 Range_192.168.188.25-26,Net_10.70.16.0 Net_10.70.13.0,accept,always,TCP/137-139 TCP/443 TCP/445 TCP/3121-3122 TCP/5120,enable,all,otpc-all,,,,,,,
CT03CASH2,162,TBC20,4746f85c-6718-51e7-1e4f-21672248bce3,I.TOFAPP,E.UCN,Net_10.70.16.0,Host_192.168.150.70,accept,always,TCP/5723,enable,all,otpc-all,,,,,,,
CT03CASH2,163,TBC21,4764e3e4-6718-51e7-4c18-d465b617fc4d,I.TOFAPP,E.UCN,Range_10.70.16.11-12,Host_192.168.239.11,accept,always,TCP/25,enable,all,otpc-all,,,,,,,
CT03CASH2,165,TBC23,47a2f922-6718-51e7-8ec1-6efffe57fd43,I.TOFAPP,E.UCN,Net_10.70.16.0 Net_10.70.13.0,Net_192.168.150.0 Net_192.168.188.0 Net_192.168.187.0 Net_192.168.166.0 Net_192.168.93.0 Net_192.168.143.0,accept,always,TCP/3389,enable,all,otpc-all,,,,,,,
CT03CASH2,166,TOF APP to CASH ssh,47c473f4-6718-51e7-67dc-36ee5e52a8f0,I.TOFAPP,I.CASH.Trust2,Range_10.70.12.8-9 Range_10.70.2.8-9,Range_10.1.89.94-95,accept,always,TCP/22,enable,all,otpc-all,,,,SDTF01;TOF-Trust;OMD-Trust;1;2017_0715,,,
CT03CASH2,167,TOF APP to Cash ping,47e2a446-6718-51e7-dbf6-108ea69fcbfb,I.TOFAPP,I.CASH.Trust2,Net_10.70.2.0 Net_10.70.12.0,Net_10.1.89.0,accept,always,PING,enable,all,otpc-all,,,,,,,
CT03CASH2,168,Cash to TOF App ping,4802cb68-6718-51e7-a347-6b6074b05111,I.CASH.Trust2,I.TOFAPP,Net_10.1.89.0,Net_10.70.2.0 Net_10.70.12.0,accept,always,PING,enable,all,otpc-all,,,,,,,
CT03CASH2,169,TBC24,4821eb56-6718-51e7-dfb7-e2d091da23a0,I.TOFAPP,I.SATWEB,Range_10.70.12.30-34 Range_10.70.2.33-34,Range_10.70.14.51-52,accept,always,UDP/22,enable,all,otpc-all,,,,SDTF01;TOF-Trust;TOF-WEB;1;2017_0715,,,
CT03CASH2,170,TBC25,48426d9a-6718-51e7-e827-044bee4a0e6d,I.TOFAPP,I.SATWEB,Range_10.70.3.72-73 Range_10.70.2.1-2 Range_10.70.2.8-9 Range_10.70.13.72-73 Range_10.70.12.1-2 Range_10.70.12.8-9 Range_10.70.12.30-34 Range_10.70.2.30-34,Range_10.70.14.61-63,accept,always,TCP/22,enable,all,otpc-all,,,,"SDPF01;TOF-Trust;TOF-WEB;2,11;2017_0715",,,
CT03CASH2,171,TBC26,4864720a-6718-51e7-23ce-26fd52d4c40d,I.TOFAPP,I.SATWEB,Range_10.70.2.33-34 Range_10.70.12.33-34,Range_10.70.14.51-52,accept,always,TCP/22,enable,all,otpc-all,,,,SDPF01;TOF-Trust;TOF-WEB;7;2017_0715,,,
CT03CASH2,173,CCASS Host to SAT Web FTPS,48a96cf2-6718-51e7-1ca2-c8b3d8b90711,E.XSYS,I.SATWEB,Host_172.23.2.1 Host_172.22.8.4,Host_10.70.14.61,accept,always,PORT_FTPS FTP_GET FTP_PUT PORT_FTP_DATA,enable,all,otpc-all,,,,SDPF01;TOF-Trust;TOF-WEB;10;2017_0715,,,
CT03CASH2,473,SAT WEB to CCASS host FTPS,eea89f46-c5ce-51e7-7d5e-74e4dfd9d14e,I.SATWEB,E.XSYS,Host_10.70.14.61,Host_172.23.2.1 Host_172.22.8.4,accept,always,PORT_FTPS FTP_GET FTP_PUT PORT_FTP_DATA,enable,all,otpc-all,,,,Reverse of CCASS Host to SAT Web FTPS,,,
CT03CASH2,174,TBC28,48ca38f6-6718-51e7-2965-a8f207fe19a3,I.TOFAPP,I.SATWEB,Range_10.70.2.101-102 Range_10.70.12.101-102,Range_10.70.14.101-102,accept,always,TCP/22,enable,all,otpc-all,,,,SDPF01;TOF-Trust;TOF-WEB;13;2017_0715,,,
CT03CASH2,175,TBC29,48ec3f3c-6718-51e7-d173-1a0aaa79301c,I.TOFAPP,I.SATWEB,Range_10.70.2.80-81 Range_10.70.12.80-81 Host_10.70.12.70,Host_10.70.14.61,accept,always,TCP/20 TCP/21 TCP/22,enable,all,otpc-all,,,,SDPF01;TOF-Trust;TOF-WEB;15;2017_0715,,,
CT03CASH2,43,TBC,d2de3628-6718-51e7-dedc-d1eb1ccd4580,E.NMC,I.SATWEB,Net_10.163.143.0 Net_10.63.142.0,Range_10.70.14.101-102 Range_10.70.15.101-102,accept,always,TCP/80 TCP/443 TCP/8080 TCP/8443 ICMP/PING TCP/22,enable,all,otpc-all,,,,SDTF04;NMC2NMC-Trust;NMC2TOF-Trust;17;2017_0715,,,
CT03CASH2,45,Sat Web CTM,d9357bb2-6718-51e7-1abb-d0bc41052a99,E.NMC,I.SATWEB,Net_10.163.143.0 Net_10.63.142.0,Range_10.70.15.101-102,accept,always,TCP/22 PING,enable,all,otpc-all,,,,SDTF04;NMC2NMC-Trust;NMC2TOF-Trust;18;2017_0715,,,
